"","X","Transect_Site","WD","logFruitLength","logFruitWidth","logSeedLength","logSeedWidth","logSugar","logFat","logProtein","logNitrogen","logTannins","logSLA","Species","Predicted","tpi","roughness","slope","aspect","flowdir","lat","long","Site"
"90",90,"Miaranony_A",0.56462867105498,2.88189418034861,2.64007659568234,2.19001247700338,1.89500918967275,2.50216473341076,1.67769798094759,3.31701196580983,0.87892348533425,0.0979964009033589,2.46794733700124,"Avahi_laniger",0.49687621,-206.75,449,6.776096958,190.5809745,2,-21.166,47.54,"Miaranony"
"91",91,"Miaranony_A",0.56462867105498,2.88189418034861,2.64007659568234,2.19001247700338,1.89500918967275,2.50216473341076,1.67769798094759,3.31701196580983,0.87892348533425,0.0979964009033589,2.46794733700124,"Hapalemur_griseus",0.976600817,-206.75,449,6.776096958,190.5809745,2,-21.166,47.54,"Miaranony"
"92",92,"Miaranony_B",0.588560357344322,3.03676985274735,2.86561446610567,2.42377237255214,2.06536635269837,2.28601680134303,1.65756222051759,3.56004312865205,0.91602422501635,0.120037763177364,2.38138555879181,"Varecia_variegata",10.60641647,-48.625,468,13.5005877,211.1290319,16,-21.163,47.542,"Miaranony"
"93",93,"Miaranony_B",0.588560357344322,3.03676985274735,2.86561446610567,2.42377237255214,2.06536635269837,2.28601680134303,1.65756222051759,3.56004312865205,0.91602422501635,0.120037763177364,2.38138555879181,"Cheirogaleus_crossleyi",2.070469221,-48.625,468,13.5005877,211.1290319,16,-21.163,47.542,"Miaranony"
"94",94,"Miaranony_B",0.588560357344322,3.03676985274735,2.86561446610567,2.42377237255214,2.06536635269837,2.28601680134303,1.65756222051759,3.56004312865205,0.91602422501635,0.120037763177364,2.38138555879181,"Propithecus_edwardsi",3.451416371,-48.625,468,13.5005877,211.1290319,16,-21.163,47.542,"Miaranony"
"95",95,"Miaranony_B",0.588560357344322,3.03676985274735,2.86561446610567,2.42377237255214,2.06536635269837,2.28601680134303,1.65756222051759,3.56004312865205,0.91602422501635,0.120037763177364,2.38138555879181,"Lepilemur_microdon",0.056659239,-48.625,468,13.5005877,211.1290319,16,-21.163,47.542,"Miaranony"
"96",96,"Miaranony_B",0.588560357344322,3.03676985274735,2.86561446610567,2.42377237255214,2.06536635269837,2.28601680134303,1.65756222051759,3.56004312865205,0.91602422501635,0.120037763177364,2.38138555879181,"Avahi_laniger",0.528182504,-48.625,468,13.5005877,211.1290319,16,-21.163,47.542,"Miaranony"
"97",97,"Miaranony_B",0.588560357344322,3.03676985274735,2.86561446610567,2.42377237255214,2.06536635269837,2.28601680134303,1.65756222051759,3.56004312865205,0.91602422501635,0.120037763177364,2.38138555879181,"Hapalemur_griseus",1.007307542,-48.625,468,13.5005877,211.1290319,16,-21.163,47.542,"Miaranony"
"98",98,"Miaranony_B",0.588560357344322,3.03676985274735,2.86561446610567,2.42377237255214,2.06536635269837,2.28601680134303,1.65756222051759,3.56004312865205,0.91602422501635,0.120037763177364,2.38138555879181,"Eulemur_rufifrons",17.97174772,-48.625,468,13.5005877,211.1290319,16,-21.163,47.542,"Miaranony"
"99",99,"Miaranony_B",0.588560357344322,3.03676985274735,2.86561446610567,2.42377237255214,2.06536635269837,2.28601680134303,1.65756222051759,3.56004312865205,0.91602422501635,0.120037763177364,2.38138555879181,"Microcebus_rufus",2.445006184,-48.625,468,13.5005877,211.1290319,16,-21.163,47.542,"Miaranony"
